,accession,dec.date,country,V3,region
2434,MN173592,2016.902,USA,2016.902,North America
2435,MH341113,[2015.923:2015.997],Taiwan,2015.997,Eastern Asia
2436,KY358056,2016.448,Taiwan,2016.448,Eastern Asia
2437,MN403179,2016.429,Spain,2016.429,Europe
2438,MH341112,[2015.841:2015.912],Taiwan,2015.912,Eastern Asia
2439,MH341111,[2015.841:2015.912],Taiwan,2015.912,Eastern Asia
2440,KY358057,2015.978,Taiwan,2015.978,Eastern Asia
2441,KY358059,2016.628,Taiwan,2016.628,Eastern Asia
2442,MH780682,[2016:2016.997],Hong Kong,2016.579116,Eastern Asia
2443,MN403109,2016.593,Spain,2016.593,Europe
2444,MN403139,2016.148,Spain,2016.148,Europe
2445,MH341718,[2016.59:2016.664],China,2016.664,Eastern Asia
2446,MH341719,[2016.582:2016.664],China,2016.582,Eastern Asia
2447,MG547198,[2016.582:2016.664],China,2016.582,Eastern Asia
2448,MN365197,[2017.162:2017.236],USA,2017.162,North America
2449,MH674117,2016.642,Sweden,2016.642,Europe
2450,MN365198,[2017.162:2017.236],USA,2017.236,North America
2451,MH780686,[2017:2017.805],Hong Kong,2017.789153,Eastern Asia
2452,MN403114,2016.284,Spain,2016.284,Europe
2453,MT543146,2018.726,China,2018.726,Eastern Asia
2454,MZ824217,2018.707,China,2018.707,Eastern Asia
2455,MK713961,2018.732,China,2018.732,Eastern Asia
2456,MN259109,[2016:2016.997],USA,2016.997,North America
2457,MN163000,2016.694,USA,2016.694,North America
2458,MW697453,[2018.496:2018.57],China,2018.496,Eastern Asia
2459,LC515243,2018.811,Japan,2018.811,Eastern Asia
2460,LC515244,2018.814,Japan,2018.814,Eastern Asia
2461,LC515248,2018.836,Japan,2018.836,Eastern Asia
2462,LC627048,2018.833,Japan,2018.833,Eastern Asia
2463,MK713960,2018.605,China,2018.605,Eastern Asia
2464,MZ824222,2017.816,China,2017.816,Eastern Asia
2465,MZ824216,2018.77,China,2018.77,Eastern Asia
2466,MT543139,2018.567,China,2018.567,Eastern Asia
2467,MZ824221,2018.778,China,2018.778,Eastern Asia
2468,MZ824220,2018.775,China,2018.775,Eastern Asia
2469,MZ824223,2018.674,China,2018.674,Eastern Asia
2470,MK713958,2018.559,China,2018.559,Eastern Asia
2471,MK713956,2018.556,China,2018.556,Eastern Asia
2472,MK713957,2018.559,China,2018.559,Eastern Asia
2473,MK713959,2018.562,China,2018.562,Eastern Asia
2474,MK241431,2018.482,China,2018.482,Eastern Asia
2475,MK241429,2017.737,China,2017.737,Eastern Asia
2476,MK241428,2017.737,China,2017.737,Eastern Asia
2477,MK241432,2018.507,China,2018.507,Eastern Asia
2478,MT543144,2018.737,China,2018.737,Eastern Asia
2479,MK713954,2018.964,China,2018.964,Eastern Asia
2480,MK713955,2018.967,China,2018.967,Eastern Asia
2481,LC627042,2018.762,Japan,2018.762,Eastern Asia
2482,MT543143,2018.633,China,2018.633,Eastern Asia
2483,MT543142,2018.636,China,2018.636,Eastern Asia
2484,LC495298,2018.666,Japan,2018.666,Eastern Asia
2485,MT543140,2018.638,China,2018.638,Eastern Asia
2486,MT543141,2018.652,China,2018.652,Eastern Asia
